id,name_pl,lon,lat
5017,Pyry,21.01509,52.12868
5031,Kijewo,14.69004,53.37707
5066,Lasowice,18.87564,50.45394
5091,Bolinko,14.56056,53.44444
5111,Centrum,19.40538,51.85972
5115,Łaziska Dolne,18.87937,50.17080
5173,Wesoła,19.10863,50.18783
5187,Przylesie,18.53857,54.44621
5213,Raduszka,16.20196,54.15266
5217,Osiedle Sikornik,18.65639,50.28250
5221,Dolna Wilda,16.91886,52.37625
5227,Hermanice,18.81206,49.71966
5240,Centrum,22.35042,53.82360
5244,Nowe Zawodzie,19.23960,50.28091
5283,Centrum,18.81206,49.71966
5289,Czerniewice,18.67718,52.97620
5291,Wilkowyja,22.04813,50.03251
5313,Augustówek,21.06667,52.35000
5333,Paprocany,18.99509,50.09454
5373,Zieliniec,17.04581,52.41194
5391,Wilczy Młyn,16.95715,52.43946
5397,Chynów,15.52719,51.96970
5403,Choszczówka,20.98309,52.35566
5405,Siekierki,21.07816,52.18500
5413,Anin,21.16667,52.23333
5419,Słoneczny Stok,23.10500,53.13000
5421,Mickiewicza,23.17278,53.12417
5436,Chwałęcice,18.47519,50.13506
5463,Dyrekcja,23.49498,51.13573
5477,Podgrodzie,20.47092,53.76555
5531,Złote Łany,19.06278,49.81163
5541,Koniuchy,18.60748,53.03316
5545,Dalki,17.58333,52.51667
5557,Tysiąclecie,19.11896,50.82757
5584,Prądy,17.89873,53.13360
5596,Trzech Wieszczów,19.11159,50.80031
5599,Błeszno,19.15000,50.76000
5603,Stradom,19.09252,50.78966
5633,Falenica,21.20875,52.16388
5634,Pieczyska,17.92497,53.31559
5643,Horodyszcze,23.44486,51.17380
5650,Kiedrzyn,19.10834,50.84713
5653,Bór,19.11848,50.78480
5693,Kleszczów,18.73000,50.04000
5761,Straconka,19.09544,49.79811
5771,Centrum,17.07804,52.41024
5817,Zalasewo,17.07325,52.38979
5843,Malichy,20.84083,52.16944
