id,name_pl,lon,lat
45376,Sułowo,20.83097,54.09584
46103,Gładysze,19.92496,54.15687
47031,Wólka Zabłocka,22.73490,51.46700
47095,Dukt,20.38695,52.83787
47231,Janówek Duranowski,20.24044,52.20181
47791,Skrzypki Małe,23.03841,52.72361
48511,Adamów,19.91480,51.44615
48630,Budy Piaseczne,19.94121,52.84965
48641,Żdżarka,23.43371,51.46771
48842,Bryki,22.47808,52.88759
48848,Kolonia Ostoja,19.30356,51.44613
48852,Lipki Małe,15.55077,52.76284
48987,Ciosny,19.40125,51.92229
49038,Sebastianowo,17.25444,52.02760
49520,Brunswałd,18.34285,53.85892
49759,Ojrzanów-Towarzystwo,20.71472,52.01153
50321,Cierpigórz,20.87827,52.98400
50527,Biała,19.87168,51.29840
50648,Gaj,16.77999,50.42040
50657,Piotrów,20.99150,51.71375
51224,Sarzyna,22.34546,50.34880
51554,Zawały,21.35701,51.08303
51933,Mostki-Kolonia,18.64748,52.35251
52101,Zabrodzie,15.35572,53.52238
52621,Komorówko,14.83337,53.25610
52887,Majdan,21.07173,51.68864
53306,Dębienica,21.65057,52.73006
53501,Piskorzyna,16.63549,51.49866
53764,Godlewo-Kolonia,22.37827,52.81477
53851,Łobódź,19.26953,51.83112
54053,Świerczyna,16.62105,54.15541
54086,Wandalin,23.06036,52.59838
54448,Rubcowo,23.45242,53.81120
55330,Pilichy,19.10646,52.11290
55429,Steblów,18.17460,50.25665
55629,Górzno,17.83716,51.74540
56395,Korolówka-Osada,23.49884,51.58122
56482,Szymanówka,19.45528,52.24159
56936,Smolniki Powidzkie,17.99047,52.45525
57100,Barwałd Średni,19.59681,49.86468
57457,Ośrodek,23.23151,53.37077
57810,Zdziechowa,17.55818,52.59026
57840,Kokocko,18.32542,53.26333
58775,Trzeboś,22.14822,50.20350
59327,Olbrachtowice,16.83163,50.94819
59409,Kowale,16.64207,51.93707
59751,Kapustowo,18.95553,54.04895
60343,Grodzisk Duży,21.73459,52.96203
60734,Pace,22.93369,52.70586
60798,Markuszewo,20.03072,53.79016
61270,Koźlice,16.23450,51.45173
61306,Milanów,21.05316,51.88748
61570,Niedysz,15.03906,54.01583
61818,Suchy Las,14.98136,53.70616
61956,Mieczki-Abramy,21.85572,53.00754
62213,Zwierzyniec Wielki,23.20073,53.66293
62610,Zwola Poduchowna,21.87900,51.86946
62895,Berżniki,23.47217,54.08038
63241,Mariankowo,16.04197,52.22024
63341,Pomianów Górny,16.95597,50.50080
63392,Marulewy,18.29672,52.79009
63406,Miszewo Wielkie,20.60040,52.63660
63540,Będziechów,18.44888,51.88051
63569,Gołasze-Puszcza,22.48912,52.95540
64078,Grudów,20.69234,52.13608
64510,Mąkolno,18.57442,52.35113
64775,Mieduniszki Wielkie,21.98306,54.32039
64906,Leginy,20.83792,54.29208
65215,Bojanów,18.16342,50.03033
65274,Trębaczew,20.58810,51.70626
65405,Żodyń,15.99218,52.11628
65417,Darżynko,17.48973,54.45305
65418,Stary Barcik,19.83474,52.37919
65690,Stare Siedlisko,19.81324,54.21742
66349,Kaliszki,22.01190,53.61709
67058,Kwiatków,17.90136,51.70603
67229,Taciewo,22.79210,54.14810
